n,q_plus,q_minus
2600,3,11
2602,43,41
2604,11,47
2606,61,5
2608,67,11
2610,61,23
2612,37,11
2614,43,3
2616,5,5
2618,13,3
2620,37,17
2622,29,7
2624,31,5
2626,31,3
2628,17,41
2630,19,17
2632,37,3
2634,5,5
2636,73,17
2638,79,11
2640,7,13
2642,3,5
2644,13,59
2646,11,5
2648,43,17
2650,7,59
2652,7,11
2654,31,3
2656,73,17
2658,7,7
2660,3,3
2662,7,3
2664,11,5
2666,3,23
2668,7,5
2670,7,67
2672,19,3
2674,3,17
2676,7,5
2678,7,17
2680,73,23
2682,47,7
2684,31,5
2686,37,23
2688,5,17
2690,61,89
2692,3,41
2694,23,7
2696,7,5
2698,7,5
2700,37,7
2702,97,3
2704,43,23
2706,53,29
2708,67,11
2710,151,59
2712,29,5
2714,7,5
2716,3,5
2718,19,71
2720,3,3
2722,7,11
2724,5,7
2726,13,89
2728,13,3
2730,17,23
2732,19,23
2734,3,83
2736,11,5
2738,7,5
2740,13,3
2742,7,47
2744,37,17
2746,13,17
2748,13,5
2750,19,3
2752,3,23
2754,23,19
2756,97,17
2758,97,3
2760,7,7
2762,13,17
2764,3,59
2766,5,17
2768,3,3
2770,13,17
2772,5,17
2774,37,83
2776,151,89
2778,29,37
2780,3,3
2782,7,3
2784,5,59
2786,3,23
2788,7,83
2790,59,61
2792,67,3
2794,3,3
2796,23,7
2798,37,23
2800,13,41
2802,23,7
2804,7,53
2806,103,3
2808,5,7
2810,79,11
2812,7,47
2814,17,53
2816,7,23
2818,37,3
2820,7,11
2822,73,107
2824,37,47
2826,41,7
2828,37,3
2830,7,23
2832,13,41
2834,7,83
2836,163,53
2838,17,5
2840,13,17
2842,13,3
2844,13,5
2846,7,3
2848,19,3
2850,37,79
2852,43,3
2854,7,17
2856,13,13
2858,43,3
2860,7,3
2862,5,47
2864,37,17
2866,13,5
2868,5,17
2870,19,17
2872,7,3
2874,11,5
2876,31,5
2878,3,11
2880,11,19
2882,7,23
2884,31,3
2886,41,7
2888,67,11
2890,3,11
2892,5,11
2894,37,47
2896,7,47
2898,5,11
2900,13,59
2902,37,17
2904,17,5
2906,193,5
2908,3,47
2910,23,23
2912,3,3
2914,13,5
2916,7,17
2918,19,17
2920,3,11
2922,23,7
2924,13,3
2926,3,5
2928,5,17
2930,37,17
2932,7,5
2934,17,23
2936,13,47
2938,7,41
2940,19,11
2942,7,101
2944,31,197
2946,11,13
2948,37,41
2950,3,3
2952,7,13
2954,127,23
2956,7,3
2958,7,11
2960,19,53
2962,37,5
2964,7,29
2966,13,3
2968,13,11
2970,7,13
2972,97,5
2974,103,17
2976,17,7
2978,37,5
2980,13,29
2982,13,47
2984,7,3
2986,3,5
2988,5,13
2990,19,3
2992,3,41
2994,43,5
2996,13,29
2998,13,23
3000,11,7
3002,3,3
3004,61,3
3006,11,29
3008,13,101
3010,13,11
3012,47,17
3014,37,53
3016,103,3
3018,7,31
3020,3,71
3022,7,131
3024,5,13
3026,7,3
3028,127,17
3030,17,17
3032,3,47
3034,31,3
3036,7,19
3038,13,5
3040,43,29
3042,43,41
3044,7,47
3046,3,47
3048,59,47
3050,43,17
3052,3,5
3054,5,13
3056,3,17
3058,19,17
3060,31,7
3062,43,11
3064,7,5
3066,5,5
3068,7,41
3070,7,41
3072,5,5
3074,7,5
3076,3,3
3078,23,13
3080,13,47
3082,37,5
3084,11,7
3086,3,23
3088,19,47
3090,11,19
3092,19,3
3094,3,83
3096,23,19
3098,73,11
3100,61,41
3102,17,17
3104,3,89
3106,163,23
3108,47,11
3110,7,23
3112,13,17
3114,7,13
3116,37,89
3118,3,5
3120,11,7
3122,13,23
3124,37,5
3126,17,19
3128,43,41
3130,37,11
3132,23,5
3134,211,17
3136,31,5
3138,7,13
3140,37,41
3142,7,41
3144,5,13
3146,3,3
3148,13,3
3150,29,11
3152,7,5
3154,3,89
3156,5,59
3158,37,191
3160,7,41
3162,5,5
3164,73,47
3166,37,3
3168,7,41
3170,43,3
3172,3,17
3174,31,5
3176,43,23
3178,19,3
3180,7,29
3182,7,47
3184,3,137
3186,7,23
3188,163,3
3190,19,41
3192,13,13
3194,7,47
3196,7,5
3198,5,11
3200,67,11
3202,13,41
3204,47,7
3206,67,5
3208,13,41
3210,11,17
3212,43,47
3214,37,3
3216,31,13
3218,13,83
3220,3,11
3222,7,5
3224,67,5
3226,31,47
3228,7,5
3230,7,11
3232,103,3
3234,47,5
3236,13,23
3238,7,113
3240,7,7
3242,37,5
3244,31,3
3246,5,13
3248,3,3
3250,7,41
3252,37,31
3254,3,5
3256,7,5
3258,23,17
3260,19,3
3262,3,5
3264,23,5
3266,7,53
3268,7,3
3270,11,17
3272,37,17
3274,13,3
3276,17,5
3278,7,41
3280,13,17
3282,23,7
3284,43,5
3286,67,83
3288,7,7
3290,19,3
3292,19,3
3294,11,5
3296,7,17
3298,19,41
3300,23,13
3302,37,5
3304,3,3
3306,5,7
3308,67,11
3310,31,11
3312,29,41
3314,7,5
3316,163,23
3318,13,37
3320,37,3
3322,13,5
3324,47,7
3326,3,59
3328,37,11
3330,7,19
3332,3,5
3334,37,17
3336,7,5
3338,3,137
3340,7,3
3342,37,11
3344,7,5
3346,43,3
3348,19,7
3350,73,11
3352,3,5
3354,5,19
3356,3,5
3358,19,17
3360,17,13
3362,13,23
3364,31,5
3366,23,5
3368,79,23
3370,3,53
3372,5,7
3374,283,29
3376,7,5
3378,67,7
3380,67,11
3382,7,23
3384,11,7
3386,151,3
3388,19,41
3390,13,13
3392,3,41
3394,3,5
3396,7,5
3398,7,3
3400,19,3
3402,17,37
3404,13,59
3406,3,17
3408,5,7
3410,61,17
3412,13,11
3414,13,23
3416,13,59
3418,97,3
3420,13,17
3422,19,3
3424,67,23
3426,7,5
3428,37,41
3430,67,11
3432,5,5
3434,37,5
3436,43,17
3438,43,5
3440,31,11
3442,103,17
3444,5,5
3446,61,5
3448,37,11
3450,7,13
3452,79,53
3454,13,5
3456,5,7
3458,37,3
3460,7,59
3462,7,17
3464,7,3
3466,67,47
3468,29,7
3470,7,23
3472,19,11
3474,11,13
3476,73,3
3478,43,3
3480,7,7
3482,3,11
3484,7,5
3486,13,19
3488,19,5
3490,73,89
3492,29,5
3494,31,3
3496,31,3
3498,43,7
3500,19,11
3502,7,23
3504,7,5
3506,31,17
3508,73,3
3510,17,7
3512,7,23
3514,13,23
3516,5,7
3518,13,3
3520,3,53
3522,47,17
3524,3,29
3526,7,107
3528,5,11
3530,19,107
3532,3,47
3534,7,5
3536,31,53
3538,37,41
3540,37,7
3542,19,5
3544,13,3
3546,31,7
3548,3,17
3550,3,89
3552,29,7
3554,61,3
3556,37,29
3558,29,13
3560,7,197
3562,3,3
3564,7,13
3566,3,5
3568,7,3
3570,29,29
3572,67,5
3574,37,5
3576,5,13
3578,7,11
3580,37,11
3582,5,17
3584,13,23
3586,37,107
3588,37,11
3590,31,53
3592,79,41
3594,7,5
3596,7,3
3598,3,17
3600,19,7
3602,7,17
3604,3,23
3606,11,5
3608,7,5
3610,43,17
3612,37,31
3614,7,17
3616,31,3
3618,17,13
3620,37,11
3622,3,3
3624,7,5
3626,73,17
3628,67,3
3630,29,19
3632,103,3
3634,31,3
3636,31,59
3638,19,3
3640,67,17
3642,7,5
3644,67,17
3646,37,5
3648,23,11
3650,3,11
3652,13,101
3654,17,19
3656,103,17
3658,3,53
3660,7,17
3662,3,11
3664,3,29
3666,97,29
3668,13,11
3670,7,17
3672,23,47
3674,3,5
3676,3,23
3678,7,41
3680,13,41
3682,37,5
3684,11,5
3686,37,3
3688,19,5
3690,7,19
3692,3,3
3694,127,3
3696,37,13
3698,13,3
3700,31,3
3702,53,5
3704,43,3
3706,7,29
3708,19,5
3710,19,11
3712,7,17
3714,7,7
3716,43,5
3718,7,47
3720,13,83
3722,79,41
3724,13,5
3726,43,19
3728,13,41
3730,61,41
3732,17,5
3734,3,29
3736,7,17
3738,37,47
3740,13,41
3742,67,11
3744,5,7
3746,3,89
3748,109,5
3750,7,7
3752,3,11
3754,97,5
3756,11,7
3758,37,3
3760,31,41
3762,7,13
3764,13,3
3766,43,17
3768,13,107
3770,3,47
3772,7,11
3774,5,7
3776,67,17
3778,13,5
3780,41,17
3782,79,41
3784,3,113
3786,37,5
3788,7,53
3790,31,11
